figure,series,env_steps,n_hover,press_minus_pi,press_rank,grad_cos,std_a,std_s,std_a_over_std_s,panel,feature,accuracy_drop,baseline_accuracy,n_pairs,delta_mm,success,her_succ,her_prog,her_succ_or_prog
inject,handle,417000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,418500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,420000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,421500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,423000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,424500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,426000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,427500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,429000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,430500,,,,,,,,her,,,,,,,0.04,0.0,0.04
